Genre,Article Name,Model,sentiment_shift,keyword_overlap,similarity,framing_label,article_keywords,summary_keywords,missing_important_topics
Health,Can stress affect sperm? What men should know about fertility,Gemini,0.0992,0.1,0.8996,Major shift,stress fertility | men fertility | fertility struggles | fertility problems | fertility concerns | facing fertility | sperm problems | fertility issue | seek fertility | sperm health,sperm health | fertility issues | male fertility | cause fertility | impact sperm | fertility | sperm quality | damage sperm | addressing stress | sperm,facing fertility | fertility concerns | fertility issue | fertility problems | fertility struggles | men fertility | seek fertility | sperm problems | stress fertility
Health,Can stress affect sperm? What men should know about fertility,Grok,0.2446,0.1,0.8574,Major shift,stress fertility | men fertility | fertility struggles | fertility problems | fertility concerns | facing fertility | sperm problems | fertility issue | seek fertility | sperm health,improving fertility | male fertility | causes fertility | fertility problems | impair sperm | sperm production | fertility | performance fertility | fertility encourages | sperm takes,facing fertility | fertility concerns | fertility issue | fertility struggles | men fertility | seek fertility | sperm health | sperm problems | stress fertility
Health,AI's a suck up. Research shows how it flatters and suggests we're not to blame,GPT,-0.4754,0.1,0.7001,Major shift,ai relationship | affirming ai | ai writing | ai self | explains ai | use ai | versus ai | ai adoption | admit ai | using ai,affirming ai | ai affirming | ai affirms | urging ai | excessive flattery | interacting affirming | conflicts affirmation | self criticism | affirmation | flattery validation,admit ai | ai adoption | ai relationship | ai self | ai writing | explains ai | use ai | using ai | versus ai
Health,AI's a suck up. Research shows how it flatters and suggests we're not to blame,Gemini,-0.4165,0.1,0.6601,Major shift,ai relationship | affirming ai | ai writing | ai self | explains ai | use ai | versus ai | ai adoption | admit ai | using ai,excessive flattery | interpersonal conversations | self criticism | flattery | using ai | ai | ai models | reveals ai | ai erodes | ai substitute,admit ai | affirming ai | ai adoption | ai relationship | ai self | ai writing | explains ai | use ai | versus ai
Health,AI's a suck up. Research shows how it flatters and suggests we're not to blame,Grok,-1.0247,0.1,0.6981,Major shift,ai relationship | affirming ai | ai writing | ai self | explains ai | use ai | versus ai | ai adoption | admit ai | using ai,chatbots | affirming ai | flattering ais | using chatbots | chatbots substitutes | ai significantly | human conversations | ai | trust flattering | researchers ai,admit ai | ai adoption | ai relationship | ai self | ai writing | explains ai | use ai | using ai | versus ai
Health,The blue light from your phone isn't ruining your sleep,GPT,-1.2512,0.2,0.8537,Major shift,sleep blue | sleep lighting | sleep disrupting | blue light | light circadian | ruining sleep | sleep research | night blue | candles sleep | influence sleep,light sleep | influence sleep | bedtime light | disrupts sleep | impact sleep | blue light | sleep significantly | nighttime sensitivity | sleep presence | improvement sleep,candles sleep | light circadian | night blue | ruining sleep | sleep blue | sleep disrupting | sleep lighting | sleep research
Health,The blue light from your phone isn't ruining your sleep,Gemini,-0.7965,0.0,0.843,Major shift,sleep blue | sleep lighting | sleep disrupting | blue light | light circadian | ruining sleep | sleep research | night blue | candles sleep | influence sleep,improved sleep | affect circadian | circadian | circadian rhythms | greater sleep | delay sleep | sleep onset | sleep stating | daytime light | sleep identified,blue light | candles sleep | influence sleep | light circadian | night blue | ruining sleep | sleep blue | sleep disrupting | sleep lighting | sleep research
Health,The blue light from your phone isn't ruining your sleep,Grok,-0.0724,0.0,0.855,Major shift,sleep blue | sleep lighting | sleep disrupting | blue light | light circadian | ruining sleep | sleep research | night blue | candles sleep | influence sleep,daytime brightness | brightness evening | morning light | sleep circadian | disrupt melatonin | improvements sleep | awake light | sleep timing | delaying sleep | goggles candlelight,blue light | candles sleep | influence sleep | light circadian | night blue | ruining sleep | sleep blue | sleep disrupting | sleep lighting | sleep research
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",GPT,0.5495,0.0,0.4143,Major shift,pancreatic cancer | tumor pancreas | pancreatic tumors | unfounded cancer | patients cancer | pancreatic | patient tumor | cancers long | cancer patients | cancer gotten,mrna vaccines | mrna technology | mrna oncological | utilizing mrna | mrna cancer | cancer vaccines | future mrna | based vaccine | mrna based | vaccines treating,cancer gotten | cancer patients | cancers long | pancreatic | pancreatic cancer | pancreatic tumors | patient tumor | patients cancer | tumor pancreas | unfounded cancer
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Gemini,0.1335,0.0,0.4173,Major shift,pancreatic cancer | tumor pancreas | pancreatic tumors | unfounded cancer | patients cancer | pancreatic | patient tumor | cancers long | cancer patients | cancer gotten,mrna vaccine | cancer vaccine | mrna cancer | vaccine research | leveraging mrna | vaccine pancreatic | based vaccines | mrna approaches | vaccines powerful | vaccine,cancer gotten | cancer patients | cancers long | pancreatic | pancreatic cancer | pancreatic tumors | patient tumor | patients cancer | tumor pancreas | unfounded cancer
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Grok,1.5477,0.0,0.4517,Major shift,pancreatic cancer | tumor pancreas | pancreatic tumors | unfounded cancer | patients cancer | pancreatic | patient tumor | cancers long | cancer patients | cancer gotten,mrna vaccine | mrna vaccines | vaccines mrna | mrna technology | cancer vaccines | mrna cancer | vaccine developed | mrna platforms | personalized mrna | vaccine,cancer gotten | cancer patients | cancers long | pancreatic | pancreatic cancer | pancreatic tumors | patient tumor | patients cancer | tumor pancreas | unfounded cancer
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",GPT,-1.8459,0.0,0.8041,Major shift,hearings kennedy | administration kennedy | question kennedy | vaccines kennedy | questions kennedy | kennedy senate | vaccine kennedy | kennedy said | kennedy progress | asked kennedy,challenges kennedy | kennedy clarified | nutrition democrats | kennedy | kennedy jr | activism kennedy | robert kennedy | kennedy highlighted | vaccines drug | costco kennedy,administration kennedy | asked kennedy | hearings kennedy | kennedy progress | kennedy said | kennedy senate | question kennedy | questions kennedy | vaccine kennedy | vaccines kennedy
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",Gemini,-1.4904,0.0,0.842,Major shift,hearings kennedy | administration kennedy | question kennedy | vaccines kennedy | questions kennedy | kennedy senate | vaccine kennedy | kennedy said | kennedy progress | asked kennedy,kennedy jr | kennedy challenged | kennedy | tensions kennedy | topics kennedy | robert kennedy | additionally kennedy | kennedy past | nutrition democrats | health secretary,administration kennedy | asked kennedy | hearings kennedy | kennedy progress | kennedy said | kennedy senate | question kennedy | questions kennedy | vaccine kennedy | vaccines kennedy
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",Grok,-0.1008,0.0,0.7565,Major shift,hearings kennedy | administration kennedy | question kennedy | vaccines kennedy | questions kennedy | kennedy senate | vaccine kennedy | kennedy said | kennedy progress | asked kennedy,vaccines trumprx | measles vaccine | trumprx drug | kennedy leadership | vaccine effectiveness | nudged vaccine | questioning democrats | medications trumprx | vaccine | handling vaccines,administration kennedy | asked kennedy | hearings kennedy | kennedy progress | kennedy said | kennedy senate | question kennedy | questions kennedy | vaccine kennedy | vaccines kennedy
Health,"RSV is still spreading, prompting states to extend the immunization period",GPT,-1.3208,0.1,0.8832,Major shift,immunizations rsv | rsv immunizations | rsv immunization | hospitalized rsv | rsv disease | seasons immunizations | toddlers rsv | rsv circulating | rsv season | month immunization,immunization schedule | vaccine pregnancy | spring immunizations | immunizations recommended | immunization efforts | vaccine | immunizations | virus rsv | antibodies infants | rsv season,hospitalized rsv | immunizations rsv | month immunization | rsv circulating | rsv disease | rsv immunization | rsv immunizations | seasons immunizations | toddlers rsv
Health,"RSV is still spreading, prompting states to extend the immunization period",Gemini,-0.6344,0.0,0.8688,Major shift,immunizations rsv | rsv immunizations | rsv immunization | hospitalized rsv | rsv disease | seasons immunizations | toddlers rsv | rsv circulating | rsv season | month immunization,immunization period | syncytial virus | immunizations | virus rsv | emphasize immunizations | immunizations game | extending immunization | infant hospitalization | daily rsv | immunization,hospitalized rsv | immunizations rsv | month immunization | rsv circulating | rsv disease | rsv immunization | rsv immunizations | rsv season | seasons immunizations | toddlers rsv
Health,"RSV is still spreading, prompting states to extend the immunization period",Grok,-1.3277,0.1,0.858,Major shift,immunizations rsv | rsv immunizations | rsv immunization | hospitalized rsv | rsv disease | seasons immunizations | toddlers rsv | rsv circulating | rsv season | month immunization,immunization period | recommended immunization | virus rsv | immunization window | eligible infants | immunization | rsv circulating | hospitalizations remaining | infant hospital | visits hospitalizations,hospitalized rsv | immunizations rsv | month immunization | rsv disease | rsv immunization | rsv immunizations | rsv season | seasons immunizations | toddlers rsv
Health,Trump administration reclassifies cannabis as less dangerous,GPT,-0.0184,0.1,0.8856,Major shift,reclassifying marijuana | reclassify marijuana | marijuana laws | restrictions marijuana | medical marijuana | reclassified cannabis | reform marijuana | cannabis federal | enforcement cannabis | marijuana schedule,reconsider cannabis | reclassified cannabis | cannabis restrictions | legalized marijuana | marijuana medical | drug policy | federal legalization | marijuana | research cannabis | broader reclassification,cannabis federal | enforcement cannabis | marijuana laws | marijuana schedule | medical marijuana | reclassify marijuana | reclassifying marijuana | reform marijuana | restrictions marijuana
Health,Trump administration reclassifies cannabis as less dangerous,Gemini,-0.4877,0.1,0.8842,Major shift,reclassifying marijuana | reclassify marijuana | marijuana laws | restrictions marijuana | medical marijuana | reclassified cannabis | reform marijuana | cannabis federal | enforcement cannabis | marijuana schedule,reclassifying marijuana | cannabis classified | patients marijuana | certain cannabis | cannabis | marijuana broadly | iii drug | marijuana | cannabis products | conversations cannabis,cannabis federal | enforcement cannabis | marijuana laws | marijuana schedule | medical marijuana | reclassified cannabis | reclassify marijuana | reform marijuana | restrictions marijuana
Health,Trump administration reclassifies cannabis as less dangerous,Grok,-0.2227,0.0,0.858,Major shift,reclassifying marijuana | reclassify marijuana | marijuana laws | restrictions marijuana | medical marijuana | reclassified cannabis | reform marijuana | cannabis federal | enforcement cannabis | marijuana schedule,reclassification marijuana | marijuana drug | descheduling legalization | marijuana | cannabis | cannabis products | federal descheduling | drugs medical | certain cannabis | psychedelic drugs,cannabis federal | enforcement cannabis | marijuana laws | marijuana schedule | medical marijuana | reclassified cannabis | reclassify marijuana | reclassifying marijuana | reform marijuana | restrictions marijuana
Health,South Carolina's measles outbreak is over. But more are brewing around the country,GPT,1.5093,0.2,0.8348,Major shift,measles outbreaks | measles outbreak | lasting measles | measles complications | measles infection | outbreak measles | measles fatal | measles vaccination | measles resurgence | recover measles,measles outbreaks | measles outbreak | vaccination rates | increase vaccinations | vaccinations despite | measles free | measles | kindergartners vaccinated | country measles | unvaccinated children,lasting measles | measles complications | measles fatal | measles infection | measles resurgence | measles vaccination | outbreak measles | recover measles
Health,South Carolina's measles outbreak is over. But more are brewing around the country,Gemini,0.0155,0.1,0.868,Major shift,measles outbreaks | measles outbreak | lasting measles | measles complications | measles infection | outbreak measles | measles fatal | measles vaccination | measles resurgence | recover measles,measles outbreak | state measles | status measles | measles | measles remains | month measles | unvaccinated individuals | vaccinations despite | unvaccinated children | outbreaks year,lasting measles | measles complications | measles fatal | measles infection | measles outbreaks | measles resurgence | measles vaccination | outbreak measles | recover measles
Health,South Carolina's measles outbreak is over. But more are brewing around the country,Grok,0.0949,0.1,0.8527,Major shift,measles outbreaks | measles outbreak | lasting measles | measles complications | measles infection | outbreak measles | measles fatal | measles vaccination | measles resurgence | recover measles,measles outbreak | state measles | measles resurging | measles | unvaccinated children | largest measles | school vaccination | vaccination rates | kindergarten vaccination | increase vaccinations,lasting measles | measles complications | measles fatal | measles infection | measles outbreaks | measles resurgence | measles vaccination | outbreak measles | recover measles
Health,"An Urgent Care Treated Her Allergic Reaction. An ER Monitored Her — For $6,700.",GPT,0.6525,0.1,0.6587,Major shift,silvana toska | clinic toska | toska symptoms | anaphylactic shock | discussed allergic | administered allergic | allergic reaction | experiencing anaphylactic | care anaphylactic | anaphylaxis,patients emergency | medical bills | urgent care | silvana toska | critical care | care charges | emergency medical | medical debt | charges toska | frustrated healthcare,administered allergic | allergic reaction | anaphylactic shock | anaphylaxis | care anaphylactic | clinic toska | discussed allergic | experiencing anaphylactic | toska symptoms
Health,"An Urgent Care Treated Her Allergic Reaction. An ER Monitored Her — For $6,700.",Gemini,1.6214,0.1,0.695,Major shift,silvana toska | clinic toska | toska symptoms | anaphylactic shock | discussed allergic | administered allergic | allergic reaction | experiencing anaphylactic | care anaphylactic | anaphylaxis,hospital toska | consultation dose | critical care | toska experienced | urgent care | silvana toska | severe allergic | benadryl home | opt benadryl | anaphylaxis regardless,administered allergic | allergic reaction | anaphylactic shock | anaphylaxis | care anaphylactic | clinic toska | discussed allergic | experiencing anaphylactic | toska symptoms
Health,"An Urgent Care Treated Her Allergic Reaction. An ER Monitored Her — For $6,700.",Grok,0.3311,0.3,0.6716,Major shift,silvana toska | clinic toska | toska symptoms | anaphylactic shock | discussed allergic | administered allergic | allergic reaction | experiencing anaphylactic | care anaphylactic | anaphylaxis,anaphylactic shock | anaphylaxis actual | went anaphylactic | anaphylaxis | anaphylactic | nature anaphylaxis | allergic reaction | second allergic | insurer hospital | insurer blue,administered allergic | care anaphylactic | clinic toska | discussed allergic | experiencing anaphylactic | silvana toska | toska symptoms
Politics,Congressional Republicans are split on using taxpayer funds to build Trump's ballroom,GPT,-0.0927,0.1,0.7843,Major shift,trump ballroom | congress fund | ballroom funded | ballroom president | officials ballroom | ballroom democrats | ballroom legislation | donors trump | building ballroom | trump room,congress fund | funding legislative | private funding | funding | urging congress | debates security | funds project | funding avoid | taxpayer funds | fund construction,ballroom democrats | ballroom funded | ballroom legislation | ballroom president | building ballroom | donors trump | officials ballroom | trump ballroom | trump room
Politics,Congressional Republicans are split on using taxpayer funds to build Trump's ballroom,Gemini,-0.0632,0.0,0.8054,Major shift,trump ballroom | congress fund | ballroom funded | ballroom president | officials ballroom | ballroom democrats | ballroom legislation | donors trump | building ballroom | trump room,donations republicans | contributions democrats | private funding | security senators | needed senate | priorities senator | senator john | private contributions | senators lindsey | congressional,ballroom democrats | ballroom funded | ballroom legislation | ballroom president | building ballroom | congress fund | donors trump | officials ballroom | trump ballroom | trump room
Politics,Congressional Republicans are split on using taxpayer funds to build Trump's ballroom,Grok,-1.7378,0.0,0.8156,Major shift,trump ballroom | congress fund | ballroom funded | ballroom president | officials ballroom | ballroom democrats | ballroom legislation | donors trump | building ballroom | trump room,trump project | wing congressional | white house | pay democrats | summary congressional | public funds | congressional republicans | prominent republicans | congressional | congressional approval,ballroom democrats | ballroom funded | ballroom legislation | ballroom president | building ballroom | congress fund | donors trump | officials ballroom | trump ballroom | trump room
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,GPT,-0.1337,0.0,0.8839,Major shift,virginia referendum | redistricting referendum | virginia voters | results virginians | approved virginia | voters court | voters flagrantly | passing redistricting | state election | referendum state,voter decisions | ruling virginia | voters designed | misleading ballot | consideration virginia | approved voters | overturn voter | maps decision | virginia judge | appeal ruling,approved virginia | passing redistricting | redistricting referendum | referendum state | results virginians | state election | virginia referendum | virginia voters | voters court | voters flagrantly
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,Gemini,-0.3182,0.1,0.8737,Major shift,virginia referendum | redistricting referendum | virginia voters | results virginians | approved virginia | voters court | voters flagrantly | passing redistricting | state election | referendum state,hurley decision | redistricting results | concerning redistricting | appeal hurley | judge hurley | redistricting | virginia judge | congressional redistricting | state election | state supreme,approved virginia | passing redistricting | redistricting referendum | referendum state | results virginians | virginia referendum | virginia voters | voters court | voters flagrantly
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,Grok,-0.1059,0.0,0.9052,Major shift,virginia referendum | redistricting referendum | virginia voters | results virginians | approved virginia | voters court | voters flagrantly | passing redistricting | state election | referendum state,appeal virginia | redistricting map | map democrats | congressional redistricting | virginia circuit | redistricting | judge blocked | announced appeal | summary virginia | elections countered,approved virginia | passing redistricting | redistricting referendum | referendum state | results virginians | state election | virginia referendum | virginia voters | voters court | voters flagrantly
Politics,Los Angeles becomes the first major school district to require screen time limits,GPT,-0.0362,0.1,0.8984,Major shift,devices students | schools screens | classroom technology | classrooms reliant | school mandated | students using | tech classrooms | classrooms children | mandated ipads | devices lunch,schools screens | students screen | screen use | prohibits device | educational technology | screen time | education technology | use classrooms | grades device | device use,classroom technology | classrooms children | classrooms reliant | devices lunch | devices students | mandated ipads | school mandated | students using | tech classrooms
Politics,Los Angeles becomes the first major school district to require screen time limits,Gemini,-0.1896,0.2,0.8824,Major shift,devices students | schools screens | classroom technology | classrooms reliant | school mandated | students using | tech classrooms | classrooms children | mandated ipads | devices lunch,schools screens | classroom technology | students distracted | restricting students | students use | school implement | concerns students | excessive classroom | use students | tablets class,classrooms children | classrooms reliant | devices lunch | devices students | mandated ipads | school mandated | students using | tech classrooms
