Genre,Article Name,Model,supported,contradictions,neutral,total_summary_sentences,faithfulness_score,contradiction_rate,sentence_level_nli
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Gemini,3,0,1,4,0.875,0.0,"[{""summary_sentence"": ""A new small study published in Nature Communications suggests that regularly drinking coffee, regardless of caffeine content, positively influences the gut microbiome and mood."", ""label"": ""NEUTRAL"", ""confidence"": 0.8326}, {""summary_sentence"": ""Researchers found that both caffeinated and decaffeinated coffee drinkers reported lower perceived stress, depression, and impulsivity, and exhibited higher levels of beneficial gut bacteria compared to non-drinkers."", ""label"": ""ENTAILMENT"", ""confidence"": 0.5613}, {""summary_sentence"": ""Specifically, caffeinated coffee was also linked to reduced anxiety, improved vigilance, and lower inflammation."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9566}, {""summary_sentence"": ""The study highlights coffee as a complex dietary factor that interacts with gut microbes and metabolism, potentially offering long-term benefits for emotional well-being and gut health, though authors note it's a small study adding to ongoing research."", ""label"": ""ENTAILMENT"", ""confidence"": 0.8862}]"
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Grok,2,0,3,5,0.7,0.0,"[{""summary_sentence"": ""**Summary:**\n\nA new study published in *Nature Communications* has found that regular coffee consumption \u2014 whether caffeinated or decaffeinated \u2014 positively influences the gut microbiome and the gut-brain axis."", ""label"": ""NEUTRAL"", ""confidence"": 0.7939}, {""summary_sentence"": ""Researchers compared 31 coffee drinkers with 31 non-drinkers and discovered that coffee consumers reported significantly lower levels of perceived stress, depression, and impulsivity, along with higher amounts of beneficial gut bacteria that help protect against harmful microbes and infections."", ""label"": ""ENTAILMENT"", ""confidence"": 0.5876}, {""summary_sentence"": ""While decaf and caffeinated coffee both improved mood, caffeinated coffee was additionally linked to reduced anxiety, better attention, and lower inflammation risk."", ""label"": ""NEUTRAL"", ""confidence"": 0.7775}, {""summary_sentence"": ""Lead author John Cryan emphasized that coffee is a complex dietary factor that interacts with gut microbes, metabolism, and emotional wellbeing, suggesting it could serve as a beneficial addition to a healthy diet for supporting the microbiome."", ""label"": ""NEUTRAL"", ""confidence"": 0.9236}, {""summary_sentence"": ""Though the study is small and coffee research remains mixed, it adds to the growing body of evidence highlighting the connection between diet, gut health, and mental wellbeing."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6102}]"
Health,CDC blocks publication of report showing COVID vaccine efficacy,GPT,3,0,4,7,0.7143,0.0,"[{""summary_sentence"": ""The Centers for Disease Control and Prevention (CDC) has halted the publication of a scientific report detailing the COVID-19 vaccine's effectiveness, which indicated that the vaccine significantly reduced emergency department visits and hospitalizations last winter."", ""label"": ""NEUTRAL"", ""confidence"": 0.7622}, {""summary_sentence"": ""The report, slated for release in the CDC\u2019s Morbidity and Mortality Weekly Report, was postponed by acting CDC Director Jay Bhattacharya due to methodological concerns, despite the methodology being standard for evaluating vaccine efficacy."", ""label"": ""NEUTRAL"", ""confidence"": 0.7476}, {""summary_sentence"": ""A CDC official emphasized the need for rigorous scientific review, leading to the delay."", ""label"": ""ENTAILMENT"", ""confidence"": 0.5098}, {""summary_sentence"": ""This unprecedented move has raised concerns about undermining transparency, with former CDC officials expressing disapproval."", ""label"": ""NEUTRAL"", ""confidence"": 0.9945}, {""summary_sentence"": ""The incident occurs amidst political tensions, as the Trump administration, through Health and Human Services Secretary Robert F."", ""label"": ""NEUTRAL"", ""confidence"": 0.9582}, {""summary_sentence"": ""Kennedy Jr., attempts to challenge established vaccine policies before the midterm elections."", ""label"": ""ENTAILMENT"", ""confidence"": 0.7905}, {""summary_sentence"": ""These developments follow leadership upheaval at the CDC, with the recent resignation of its acting director and other top officials."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9116}]"
Health,CDC blocks publication of report showing COVID vaccine efficacy,Gemini,1,0,3,4,0.625,0.0,"[{""summary_sentence"": ""The CDC has reportedly blocked the publication of a scientific report showing the COVID-19 vaccine reduced emergency department visits and hospitalizations by half last winter."", ""label"": ""ENTAILMENT"", ""confidence"": 0.837}, {""summary_sentence"": ""Although the report had cleared the agency's scientific review process and used standard methodology for vaccine effectiveness studies, acting CDC Director Jay Bhattacharya delayed its release, citing concerns about methodological rigor."", ""label"": ""NEUTRAL"", ""confidence"": 0.5224}, {""summary_sentence"": ""This action has been called \""unprecedented\"" by former CDC officials, who suggest it reflects \""cherry picking\"" and bias from current leadership, especially in light of HHS Secretary Robert F."", ""label"": ""NEUTRAL"", ""confidence"": 0.9893}, {""summary_sentence"": ""Kennedy Jr.'s ongoing efforts to downplay US vaccine policies and recent leadership instability at the CDC related to vaccine policy disagreements."", ""label"": ""NEUTRAL"", ""confidence"": 0.7733}]"
Health,CDC blocks publication of report showing COVID vaccine efficacy,Grok,2,0,4,6,0.6667,0.0,"[{""summary_sentence"": ""**Summary:**\n\nThe CDC has blocked publication of a scientific report, originally scheduled for release in the *Morbidity and Mortality Weekly Report* on March 19, that found COVID-19 vaccines reduced the likelihood of emergency department visits and hospitalizations by half during the past winter."", ""label"": ""ENTAILMENT"", ""confidence"": 0.729}, {""summary_sentence"": ""The study had already cleared the agency\u2019s scientific review process but was halted by acting CDC Director Jay Bhattacharya over methodological concerns, despite the same methods having been routinely used by the CDC to evaluate vaccine effectiveness for respiratory viruses, including a flu vaccine study published just last month."", ""label"": ""NEUTRAL"", ""confidence"": 0.8353}, {""summary_sentence"": ""Former CDC official Demetre Daskalakis called the decision unprecedented and accused agency leadership of \u201ccherry picking based on the bias\u201d of HHS Secretary Robert F."", ""label"": ""NEUTRAL"", ""confidence"": 0.9028}, {""summary_sentence"": ""Kennedy Jr."", ""label"": ""NEUTRAL"", ""confidence"": 0.7099}, {""summary_sentence"": ""and others who oppose current vaccine policies."", ""label"": ""NEUTRAL"", ""confidence"": 0.9258}, {""summary_sentence"": ""The move comes amid ongoing turmoil at the CDC, including the recent ousting of its previous director and high-level resignations tied to clashes with Kennedy over vaccine recommendations."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6022}]"
Health,Why the key to losing weight may be enjoying your food,GPT,7,0,1,8,0.9375,0.0,"[{""summary_sentence"": ""The article \""Why the Key to Losing Weight May Be Enjoying Your Food\"" explores the psychological aspects of eating and how they impact weight management."", ""label"": ""NEUTRAL"", ""confidence"": 0.8057}, {""summary_sentence"": ""It argues that how we perceive our food significantly affects our hunger and satiation."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6386}, {""summary_sentence"": ""Research has shown that mindset and beliefs can alter hormonal responses to food, such as the hunger hormone ghrelin, which influences metabolism."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9481}, {""summary_sentence"": ""Experiments revealed that if participants believed they were consuming indulgent, high-calorie items, their bodies reacted as though they were sated, even if the actual caloric content was lower."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9321}, {""summary_sentence"": ""This suggests that a restrictive mindset can hinder successful weight management by slowing metabolism and promoting compensatory overeating."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6381}, {""summary_sentence"": ""Additionally, labeling foods as \""healthy\"" can reduce satisfaction and increase hunger, leading to overeating."", ""label"": ""ENTAILMENT"", ""confidence"": 0.642}, {""summary_sentence"": ""Instead, focusing on enjoying a balanced diet, including occasional treats, and emphasizing the taste and pleasure of food rather than deprivation can be more effective for maintaining a healthy weight."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9233}, {""summary_sentence"": ""The key is to trust our bodies to crave what they need and adopt a mindset that makes healthy, whole foods rewarding and appealing."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9418}]"
Health,Why the key to losing weight may be enjoying your food,Gemini,2,0,2,4,0.75,0.0,"[{""summary_sentence"": ""This article argues that how we think about food, particularly finding pleasure in eating, is as crucial for weight management as what we eat."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6176}, {""summary_sentence"": ""Research demonstrates that our mindset and expectations about food directly influence our body's hormonal responses to hunger and satiety; for example, believing a milkshake is \""indulgent\"" causes a sharper drop in the hunger hormone ghrelin than believing it's \""healthy,\"" regardless of actual calorie content."", ""label"": ""ENTAILMENT"", ""confidence"": 0.912}, {""summary_sentence"": ""Labelling foods as healthy can also reduce satisfaction, leading to increased hunger and subsequent eating, while guilt over treats can hinder weight loss."", ""label"": ""NEUTRAL"", ""confidence"": 0.6694}, {""summary_sentence"": ""Therefore, the article suggests that adopting a mindset of enjoyment and \""indulgence\""\u2014trusting our bodies, avoiding deprivation language, and savoring unprocessed foods\u2014is a more effective approach to maintaining a healthy weight than strict dietary restraint, which can be counterproductive."", ""label"": ""NEUTRAL"", ""confidence"": 0.5752}]"
Health,Why the key to losing weight may be enjoying your food,Grok,3,1,3,7,0.6429,0.1429,"[{""summary_sentence"": ""**Summary:**\n\nThe key to losing weight may depend as much on our mindset as on the food itself."", ""label"": ""NEUTRAL"", ""confidence"": 0.5391}, {""summary_sentence"": ""Research by Stanford psychologist Alia Crum shows that our expectations powerfully shape our body\u2019s response to meals."", ""label"": ""ENTAILMENT"", ""confidence"": 0.97}, {""summary_sentence"": ""In classic studies, participants who believed they were drinking a rich, indulgent milkshake experienced a significantly steeper drop in the hunger hormone ghrelin and felt more satisfied than those who thought they were consuming a low-calorie \u201chealthy\u201d shake \u2014 even though both drinks were identical."", ""label"": ""NEUTRAL"", ""confidence"": 0.9575}, {""summary_sentence"": ""Similarly, labeling foods as \u201chealthy\u201d rather than \u201ctasty\u201d reduces anticipated pleasure, leaving people less satisfied and more likely to overeat later."", ""label"": ""CONTRADICTION"", ""confidence"": 0.6487}, {""summary_sentence"": ""The article argues that a restrictive, guilt-laden approach to dieting can backfire by slowing metabolism and triggering compensatory eating."", ""label"": ""ENTAILMENT"", ""confidence"": 0.632}, {""summary_sentence"": ""Instead, experts recommend adopting a \u201cmindset of indulgence\u201d: focusing on enjoying wholesome, unprocessed foods like fruits, vegetables, and proteins, trusting our bodies\u2019 natural hunger signals, and allowing ourselves occasional treats without shame."", ""label"": ""ENTAILMENT"", ""confidence"": 0.8941}, {""summary_sentence"": ""By finding genuine pleasure in eating, we may ultimately find it easier to maintain a healthy weight."", ""label"": ""NEUTRAL"", ""confidence"": 0.6437}]"
Health,Can you trust AI for health advice?,GPT,2,0,5,7,0.6429,0.0,"[{""summary_sentence"": ""The article \""Can you trust AI for health advice?\"" discusses the growing use of AI-powered tools by individuals seeking health information, noting their convenience and speed."", ""label"": ""NEUTRAL"", ""confidence"": 0.9706}, {""summary_sentence"": ""However, it emphasizes several limitations of relying on AI for medical guidance."", ""label"": ""NEUTRAL"", ""confidence"": 0.6188}, {""summary_sentence"": ""AI tools lack access to personal medical records and cannot conduct examinations like healthcare professionals, which are crucial for accurate diagnoses."", ""label"": ""NEUTRAL"", ""confidence"": 0.9434}, {""summary_sentence"": ""The information provided by AI can also be incorrect, biased, or derived from misleading sources due to the data they are trained on."", ""label"": ""ENTAILMENT"", ""confidence"": 0.608}, {""summary_sentence"": ""Moreover, communication challenges between humans and AI can lead to misinterpretations."", ""label"": ""ENTAILMENT"", ""confidence"": 0.8734}, {""summary_sentence"": ""To use AI safely, the article advises using it for general education rather than diagnosis, cross-checking information with reliable sources, asking specific questions, and protecting personal information."", ""label"": ""NEUTRAL"", ""confidence"": 0.9348}, {""summary_sentence"": ""Ultimately, AI should be viewed as a supplemental research tool, while important health decisions should be made with a healthcare professional's guidance."", ""label"": ""NEUTRAL"", ""confidence"": 0.9624}]"
Health,Can you trust AI for health advice?,Gemini,3,0,2,5,0.8,0.0,"[{""summary_sentence"": ""While many people are turning to AI chatbots for quick and convenient health advice, experts from the Mayo Clinic warn against relying on this information due to significant limitations."", ""label"": ""NEUTRAL"", ""confidence"": 0.9465}, {""summary_sentence"": ""AI tools cannot diagnose illnesses as they lack access to personal medical records and human reasoning, often provide confidently incorrect \""hallucinations,\"" may contain biases from their training data, and can spread misinformation by repeating flawed online sources."", ""label"": ""NEUTRAL"", ""confidence"": 0.8496}, {""summary_sentence"": ""Furthermore, users often fail to provide AI with sufficient specific information, leading to inaccurate or incomplete answers."", ""label"": ""ENTAILMENT"", ""confidence"": 0.8854}, {""summary_sentence"": ""Therefore, it's recommended to use AI for general health education, like defining medical terms, rather than diagnosis, always cross-reference its output with trusted medical sources and healthcare professionals, ask clear and specific questions, and protect personal privacy by avoiding sharing sensitive health information."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6002}, {""summary_sentence"": ""Ultimately, AI should be viewed as a research assistant, not a healthcare professional, with critical health decisions best made in consultation with a human expert."", ""label"": ""ENTAILMENT"", ""confidence"": 0.806}]"
Health,Can you trust AI for health advice?,Grok,0,0,4,4,0.5,0.0,"[{""summary_sentence"": ""**Summary:**\n\nThe article \""Can you trust AI for health advice?\"" warns that while millions of people are increasingly turning to AI chatbots like ChatGPT for quick health information, these tools are not reliable enough for medical use."", ""label"": ""NEUTRAL"", ""confidence"": 0.7292}, {""summary_sentence"": ""Mayo Clinic experts highlight several serious limitations: AI lacks access to a patient\u2019s full medical history, cannot perform examinations or tests, sometimes confidently presents false information (hallucinations), can contain cultural biases, spreads misinformation, and often gives inconsistent answers based on slight differences in how questions are worded."", ""label"": ""NEUTRAL"", ""confidence"": 0.8998}, {""summary_sentence"": ""The article recommends using AI only for general education \u2014 such as understanding medical terms or wellness tips \u2014 while always cross-checking information with trusted medical sources and consulting healthcare professionals for any personal health concerns."", ""label"": ""NEUTRAL"", ""confidence"": 0.9572}, {""summary_sentence"": ""Ultimately, AI should be viewed as a research assistant, not a substitute for a doctor."", ""label"": ""NEUTRAL"", ""confidence"": 0.9619}]"
