Genre,Article Name,Model,coverage_score,covered_points,partial_points,missing_points,total_key_points,point_results,note
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Gemini,0.6667,2,0,1,3,"[{""key_point"": ""mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract."", ""best_sentence"": ""However, the article notes that mRNA cancer research faced significant headwinds post-pandemic due to political backlash and public skepticism surrounding COVID-19 vaccines, leading to substantial federal funding cuts and contract cancellations."", ""max_similarity"": 0.7597, ""status"": ""Covered""}, {""key_point"": ""Despite all of that, research seems to still be moving forward."", ""best_sentence"": ""Despite these setbacks, there are signs of renewed federal support and continued industry investment, with larger multi-site trials now underway."", ""max_similarity"": 0.364, ""status"": ""Missing""}, {""key_point"": ""The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."", ""best_sentence"": ""These findings are considered a significant \""proof of concept\"" for mRNA cancer vaccines, especially for difficult-to-treat cancers like pancreatic cancer."", ""max_similarity"": 0.8223, ""status"": ""Covered""}]",
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Grok,0.6667,2,0,1,3,"[{""key_point"": ""mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract."", ""best_sentence"": ""Despite significant political backlash and funding cuts to mRNA research in 2025, the field is regaining momentum:\n\n- The National Cancer Institute is investing $200 million in cancer vaccines, with mRNA as a major focus."", ""max_similarity"": 0.8009, ""status"": ""Covered""}, {""key_point"": ""Despite all of that, research seems to still be moving forward."", ""best_sentence"": ""While challenges remain \u2014 including funding uncertainty and lingering public skepticism \u2014 many leading cancer researchers are optimistic."", ""max_similarity"": 0.4403, ""status"": ""Missing""}, {""key_point"": ""The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."", ""best_sentence"": ""**Bottom line:** Personalized mRNA vaccines are showing genuine potential to change outcomes in hard-to-treat cancers, with pancreatic cancer \u2014 long considered nearly hopeless \u2014 becoming a surprising flagship for the technology."", ""max_similarity"": 0.8154, ""status"": ""Covered""}]",
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",GPT,0.3,0,3,2,5,"[{""key_point"": ""RFK Jr."", ""best_sentence"": ""Kennedy Jr."", ""max_similarity"": 0.604, ""status"": ""Partial""}, {""key_point"": ""did seven consecutive congressional hearings this week."", ""best_sentence"": ""was questioned by senators on issues regarding his leadership."", ""max_similarity"": 0.4647, ""status"": ""Missing""}, {""key_point"": ""He described his 15 months leading HHS as having delivered significant results, pointing to things like drug price negotiations and pushing to ban petroleum-based food dyes."", ""best_sentence"": ""He maintained the importance of the measles vaccine but faced questions about using resources for self-promotion and the TrumpRx drug discount site's cost challenges, as highlighted by Sen."", ""max_similarity"": 0.3781, ""status"": ""Missing""}, {""key_point"": ""Democrats pushed back hard though, repeatedly pressing him on his stance on vaccines."", ""best_sentence"": ""In contrast, Democrats criticized him for not publicizing Trump administration pharmaceutical deals, questioned his handling of vaccine policies, and criticized promotional videos from his office."", ""max_similarity"": 0.5547, ""status"": ""Partial""}, {""key_point"": ""Surprisingly, he came out in clear support of the measles vaccine, which seems against his previous stand."", ""best_sentence"": ""Despite previous anti-vaccine activism, Kennedy defended vaccines during the hearings."", ""max_similarity"": 0.5662, ""status"": ""Partial""}]",
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",Gemini,0.4,0,4,1,5,"[{""key_point"": ""RFK Jr."", ""best_sentence"": ""Kennedy Jr."", ""max_similarity"": 0.604, ""status"": ""Partial""}, {""key_point"": ""did seven consecutive congressional hearings this week."", ""best_sentence"": ""faced vigorous questioning in two Senate hearings, testifying before the Finance Committee and the HELP Committee."", ""max_similarity"": 0.5689, ""status"": ""Partial""}, {""key_point"": ""He described his 15 months leading HHS as having delivered significant results, pointing to things like drug price negotiations and pushing to ban petroleum-based food dyes."", ""best_sentence"": ""*   **TrumpRx:** They criticized the administration's new drug discount site, showing some drugs were significantly more expensive than retail."", ""max_similarity"": 0.4176, ""status"": ""Missing""}, {""key_point"": ""Democrats pushed back hard though, repeatedly pressing him on his stance on vaccines."", ""best_sentence"": ""Democrats grilled Kennedy on several issues:\n*   **Vaccine Policy:** They pushed him on making Trump administration deals with pharmaceutical companies public, his agency's sudden changes to the childhood vaccine schedule without outside input, and record measles outbreaks."", ""max_similarity"": 0.6544, ""status"": ""Partial""}, {""key_point"": ""Surprisingly, he came out in clear support of the measles vaccine, which seems against his previous stand."", ""best_sentence"": ""Despite his history of anti-vaccine activism, Kennedy stated, \""We promote the measles vaccine.\""\n*   **Promotional Videos:** They questioned the use of government resources for \""vanity projects\"" like videos featuring him with Kid Rock or as a WWE fighter."", ""max_similarity"": 0.6126, ""status"": ""Partial""}]",
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",Grok,0.5,1,3,1,5,"[{""key_point"": ""RFK Jr."", ""best_sentence"": ""Kennedy Jr."", ""max_similarity"": 0.604, ""status"": ""Partial""}, {""key_point"": ""did seven consecutive congressional hearings this week."", ""best_sentence"": ""**Summary**\n\nIn two separate hearings on Capitol Hill on Wednesday, Health and Human Services Secretary Robert F."", ""max_similarity"": 0.4856, ""status"": ""Missing""}, {""key_point"": ""He described his 15 months leading HHS as having delivered significant results, pointing to things like drug price negotiations and pushing to ban petroleum-based food dyes."", ""best_sentence"": ""Testifying before the Senate Finance Committee and the Senate HELP Committee, Kennedy highlighted what he called \u201chistoric wins\u201d in his first 15 months leading HHS, including drug price negotiations, new Dietary Guidelines, expanded nutrition education, efforts to phase out petroleum-based food dyes, and the creation of the Rural Health Transformation Fund."", ""max_similarity"": 0.619, ""status"": ""Partial""}, {""key_point"": ""Democrats pushed back hard though, repeatedly pressing him on his stance on vaccines."", ""best_sentence"": ""Democrats pressed him aggressively on several fronts:\n- His dramatic unilateral changes to the childhood vaccine schedule."", ""max_similarity"": 0.8058, ""status"": ""Covered""}, {""key_point"": ""Surprisingly, he came out in clear support of the measles vaccine, which seems against his previous stand."", ""best_sentence"": ""Kennedy defended the measles vaccine as 97% effective and said his agency continues to promote it, a notable shift in tone from his pre-administration anti-vaccine activism."", ""max_similarity"": 0.6112, ""status"": ""Partial""}]",
Health,"RSV is still spreading, prompting states to extend the immunization period",GPT,1.0,3,0,0,3,"[{""key_point"": ""RSV has been spreading later into the season than usual this year, with a positive test rate of 7.5%, noticeably higher than the same time last year."", ""best_sentence"": ""The CDC reported higher RSV test positivity rates in March than previous years, indicating a prolonged season."", ""max_similarity"": 0.7882, ""status"": ""Covered""}, {""key_point"": ""Because of this, almost every state has extended its RSV immunization window through the end of April."", ""best_sentence"": ""However, due to ongoing virus transmission, nearly all states have extended this period to the end of April."", ""max_similarity"": 0.7172, ""status"": ""Covered""}, {""key_point"": ""This is especially important because RSV poses the greatest risk to newborns, and around 10,000 babies are born every day in the U.S."", ""best_sentence"": ""Experts emphasize the importance of continuing immunization to prevent serious illness in infants, given that RSV is a leading cause of infant hospitalizations."", ""max_similarity"": 0.7176, ""status"": ""Covered""}]",
Health,"RSV is still spreading, prompting states to extend the immunization period",Gemini,0.8333,2,1,0,3,"[{""key_point"": ""RSV has been spreading later into the season than usual this year, with a positive test rate of 7.5%, noticeably higher than the same time last year."", ""best_sentence"": ""The RSV season is lasting unusually long this year, with the virus continuing to spread later into the spring than typical."", ""max_similarity"": 0.7315, ""status"": ""Covered""}, {""key_point"": ""Because of this, almost every state has extended its RSV immunization window through the end of April."", ""best_sentence"": ""As a result, nearly all states are extending the window for RSV immunizations for eligible infants and toddlers through at least the end of April, beyond the usual March cutoff."", ""max_similarity"": 0.8319, ""status"": ""Covered""}, {""key_point"": ""This is especially important because RSV poses the greatest risk to newborns, and around 10,000 babies are born every day in the U.S."", ""best_sentence"": ""Federal data from mid-March shows a significantly higher RSV positivity rate (7.5%) compared to previous years, leading to ongoing emergency department visits and hospitalizations, particularly among infants."", ""max_similarity"": 0.6768, ""status"": ""Partial""}]",
Health,"RSV is still spreading, prompting states to extend the immunization period",Grok,0.8333,2,1,0,3,"[{""key_point"": ""RSV has been spreading later into the season than usual this year, with a positive test rate of 7.5%, noticeably higher than the same time last year."", ""best_sentence"": ""According to federal data, 7.5% of RSV tests were positive during the third week of March \u2014 significantly higher than the 5% positivity rate at the same time last year."", ""max_similarity"": 0.796, ""status"": ""Covered""}, {""key_point"": ""Because of this, almost every state has extended its RSV immunization window through the end of April."", ""best_sentence"": ""states and jurisdictions to extend the recommended period for RSV immunizations through the end of April."", ""max_similarity"": 0.8327, ""status"": ""Covered""}, {""key_point"": ""This is especially important because RSV poses the greatest risk to newborns, and around 10,000 babies are born every day in the U.S."", ""best_sentence"": ""Because RSV remains the leading cause of hospitalization in infants, health officials are urging providers to continue offering monoclonal antibodies (nirsevimab) to eligible infants and high-risk toddlers while virus activity stays elevated."", ""max_similarity"": 0.6184, ""status"": ""Partial""}]",
Health,Trump administration reclassifies cannabis as less dangerous,GPT,0.6667,1,2,0,3,"[{""key_point"": ""Attorney General Todd Blanche announced the reclassification of \""products containing marijuana that are covered by the Food and Drug Administration or that have received a state medical-marijuana licence\"" from a Schedule I controlled substance (simiilar to heroin) to Schedule III (similar to Tylenol with coedine)."", ""best_sentence"": ""Acting Attorney General Todd Blanche moved products containing marijuana, which are FDA-approved or have a state medical-marijuana license, from a Schedule I narcotic to a Schedule III drug, akin to Tylenol with codeine."", ""max_similarity"": 0.814, ""status"": ""Covered""}, {""key_point"": ""The reclassification is intended to increase research into the medicinal uses of marijuana, though it is expected to be challenged in court."", ""best_sentence"": ""Blanche announced a hearing to consider reclassifying all marijuana more broadly, which could lead to more research and better patient care."", ""max_similarity"": 0.6931, ""status"": ""Partial""}, {""key_point"": ""This comes after the Biden administration recommendeda change in classification and after Trump signed an executive order increasing access to psychadelic drugs for medical treatment."", ""best_sentence"": ""Blanche's order follows Trump's executive order boosting access to psychedelic drugs for medical treatment."", ""max_similarity"": 0.6146, ""status"": ""Partial""}]",
Health,Trump administration reclassifies cannabis as less dangerous,Gemini,0.8333,2,1,0,3,"[{""key_point"": ""Attorney General Todd Blanche announced the reclassification of \""products containing marijuana that are covered by the Food and Drug Administration or that have received a state medical-marijuana licence\"" from a Schedule I controlled substance (simiilar to heroin) to Schedule III (similar to Tylenol with coedine)."", ""best_sentence"": ""This change, announced by Acting Attorney General Todd Blanche, applies to FDA-approved cannabis products or those with a state medical-marijuana license."", ""max_similarity"": 0.7174, ""status"": ""Covered""}, {""key_point"": ""The reclassification is intended to increase research into the medicinal uses of marijuana, though it is expected to be challenged in court."", ""best_sentence"": ""Although this reclassification is expected to face legal challenges, it marks a major shift in US drug policy."", ""max_similarity"": 0.7437, ""status"": ""Covered""}, {""key_point"": ""This comes after the Biden administration recommendeda change in classification and after Trump signed an executive order increasing access to psychadelic drugs for medical treatment."", ""best_sentence"": ""This action fulfills a directive from President Donald Trump last year to increase access and research into the drug, aiming to provide better patient care and more reliable information for doctors."", ""max_similarity"": 0.663, ""status"": ""Partial""}]",
Health,Trump administration reclassifies cannabis as less dangerous,Grok,0.6667,1,2,0,3,"[{""key_point"": ""Attorney General Todd Blanche announced the reclassification of \""products containing marijuana that are covered by the Food and Drug Administration or that have received a state medical-marijuana licence\"" from a Schedule I controlled substance (simiilar to heroin) to Schedule III (similar to Tylenol with coedine)."", ""best_sentence"": ""**Summary:**\n\nThe US Department of Justice has moved to **reclassify cannabis** from Schedule I (considered as dangerous as heroin) to **Schedule III** (same category as Tylenol with codeine) for FDA-approved products and those with state medical marijuana licenses."", ""max_similarity"": 0.8144, ""status"": ""Covered""}, {""key_point"": ""The reclassification is intended to increase research into the medicinal uses of marijuana, though it is expected to be challenged in court."", ""best_sentence"": ""**Summary:**\n\nThe US Department of Justice has moved to **reclassify cannabis** from Schedule I (considered as dangerous as heroin) to **Schedule III** (same category as Tylenol with codeine) for FDA-approved products and those with state medical marijuana licenses."", ""max_similarity"": 0.6564, ""status"": ""Partial""}, {""key_point"": ""This comes after the Biden administration recommendeda change in classification and after Trump signed an executive order increasing access to psychadelic drugs for medical treatment."", ""best_sentence"": ""- This follows Trump\u2019s recent executive order to expand access to psychedelic drugs for medical use."", ""max_similarity"": 0.6816, ""status"": ""Partial""}]",
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,GPT,0.375,0,3,1,4,"[{""key_point"": ""Virginia voters had voted to update their congressional map."", ""best_sentence"": ""A newly approved congressional map in Virginia, designed to help Democrats gain four US House seats, is facing a legal challenge after a judge halted its certification."", ""max_similarity"": 0.5881, ""status"": ""Partial""}, {""key_point"": ""This redistricting change is postitive for the Democrats who now are likely to benefit by recieving more Democratic house seats in November's midterm  election."", ""best_sentence"": ""The map, favoring Democrats in 10 out of 11 US House seats, marked a significant victory for the party amid nationwide redistricting efforts."", ""max_similarity"": 0.4655, ""status"": ""Missing""}, {""key_point"": ""Although, a judge has made efforts to not certify the vote since they claim lawmakers did not follow the proper steps to for this redistricting, there is a current Virgina redistricting case with being processed with the supremem court, and that the language of the ballet was misleading."", ""best_sentence"": ""Tazewell County Circuit Court Judge Jack Hurley ruled that the state's lawmakers did not adhere to rules when passing the redistricting referendum and described the ballot language as \""flagrantly misleading.\"" As a result, election officials are prohibited from adjusting districts or implementing the new maps."", ""max_similarity"": 0.5471, ""status"": ""Partial""}, {""key_point"": ""On the opposite end, others are claiming that Republicans are just upset about the results and that fair election organizations are proving this was fair."", ""best_sentence"": ""The Virginia Department of Elections is evaluating the ruling's impact, while Virginians for Fair Elections, a group supporting the map, claims the vote was fair and criticizes Republicans for challenging it."", ""max_similarity"": 0.5195, ""status"": ""Partial""}]",
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,Gemini,0.375,1,1,2,4,"[{""key_point"": ""Virginia voters had voted to update their congressional map."", ""best_sentence"": ""Virginia voters recently approved a new congressional map designed to give Democrats an advantage in 10 of the state's 11 US House seats, potentially netting them four."", ""max_similarity"": 0.7713, ""status"": ""Covered""}, {""key_point"": ""This redistricting change is postitive for the Democrats who now are likely to benefit by recieving more Democratic house seats in November's midterm  election."", ""best_sentence"": ""Virginia voters recently approved a new congressional map designed to give Democrats an advantage in 10 of the state's 11 US House seats, potentially netting them four."", ""max_similarity"": 0.4832, ""status"": ""Missing""}, {""key_point"": ""Although, a judge has made efforts to not certify the vote since they claim lawmakers did not follow the proper steps to for this redistricting, there is a current Virgina redistricting case with being processed with the supremem court, and that the language of the ballet was misleading."", ""best_sentence"": ""Judge Hurley cited that state lawmakers did not follow their own rules and deemed the ballot language \""flagrantly misleading,\"" also barring the modification or implementation of the new maps."", ""max_similarity"": 0.6033, ""status"": ""Partial""}, {""key_point"": ""On the opposite end, others are claiming that Republicans are just upset about the results and that fair election organizations are proving this was fair."", ""best_sentence"": ""Meanwhile, a group that championed the referendum stated that voters understood and approved the map, accusing opponents (Republicans) of attempting to overturn the will of the voters in court."", ""max_similarity"": 0.4014, ""status"": ""Missing""}]",
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,Grok,0.375,0,3,1,4,"[{""key_point"": ""Virginia voters had voted to update their congressional map."", ""best_sentence"": ""Supporters of the map, **Virginians for Fair Elections**, pushed back sharply, saying voters clearly understood the ballot, approved it, and that Republicans are now trying to overturn the election result in court after losing at the ballot box."", ""max_similarity"": 0.6964, ""status"": ""Partial""}, {""key_point"": ""This redistricting change is postitive for the Democrats who now are likely to benefit by recieving more Democratic house seats in November's midterm  election."", ""best_sentence"": ""**Summary:**\n\nA congressional redistricting map approved by Virginia voters on Tuesday \u2014 which would give Democrats a major advantage in 10 of the state\u2019s 11 U.S."", ""max_similarity"": 0.6545, ""status"": ""Partial""}, {""key_point"": ""Although, a judge has made efforts to not certify the vote since they claim lawmakers did not follow the proper steps to for this redistricting, there is a current Virgina redistricting case with being processed with the supremem court, and that the language of the ballet was misleading."", ""best_sentence"": ""- The ballot language was \u201cflagrantly misleading.\u201d\n\nThe judge ordered state election officials not to implement or modify districts based on the new map."", ""max_similarity"": 0.6131, ""status"": ""Partial""}, {""key_point"": ""On the opposite end, others are claiming that Republicans are just upset about the results and that fair election organizations are proving this was fair."", ""best_sentence"": ""Supporters of the map, **Virginians for Fair Elections**, pushed back sharply, saying voters clearly understood the ballot, approved it, and that Republicans are now trying to overturn the election result in court after losing at the ballot box."", ""max_similarity"": 0.399, ""status"": ""Missing""}]",
