Genre,Article Name,Model,sentiment_shift,keyword_overlap,similarity,framing_label,article_keywords,summary_keywords,missing_important_topics
Health,"RSV is still spreading, prompting states to extend the immunization period",Grok,-0.0772,0.3,0.9217,Major shift,immunizations rsv | rsv immunizations | rsv immunization | hospitalized rsv | rsv disease | seasons immunizations | toddlers rsv | rsv circulating | rsv season | month immunization,rsv immunizations | rsv immunization | immunization season | virus rsv | rsv circulating | immunizations virus | continuing immunizations | rsv seasons | antibodies infants | rsv tests,hospitalized rsv | immunizations rsv | month immunization | rsv disease | rsv season | seasons immunizations | toddlers rsv
Health,Trump administration reclassifies cannabis as less dangerous,GPT,-0.6872,0.6,0.891,Major shift,reclassifying marijuana | reclassify marijuana | marijuana laws | restrictions marijuana | medical marijuana | reclassified cannabis | reform marijuana | cannabis federal | enforcement cannabis | marijuana schedule,marijuana fda | marijuana laws | reclassifying marijuana | medical marijuana | marijuana schedule | reform marijuana | cannabis marijuana | schedule cannabis | reclassified cannabis | marijuana license,cannabis federal | enforcement cannabis | reclassify marijuana | restrictions marijuana
Health,Trump administration reclassifies cannabis as less dangerous,Gemini,-0.5458,0.5,0.8798,Major shift,reclassifying marijuana | reclassify marijuana | marijuana laws | restrictions marijuana | medical marijuana | reclassified cannabis | reform marijuana | cannabis federal | enforcement cannabis | marijuana schedule,reclassifying marijuana | marijuana schedule | marijuana laws | medical marijuana | reform marijuana | approved cannabis | scheduling cannabis | doctors cannabis | drug policy | marijuana license,cannabis federal | enforcement cannabis | reclassified cannabis | reclassify marijuana | restrictions marijuana
Health,Trump administration reclassifies cannabis as less dangerous,Grok,0.0376,0.1,0.8739,Major shift,reclassifying marijuana | reclassify marijuana | marijuana laws | restrictions marijuana | medical marijuana | reclassified cannabis | reform marijuana | cannabis federal | enforcement cannabis | marijuana schedule,reclassification marijuana | reclassify cannabis | medical marijuana | cannabis schedule | marijuana fulfills | classified marijuana | cannabis safety | research marijuana | marijuana licenses | marijuana,cannabis federal | enforcement cannabis | marijuana laws | marijuana schedule | reclassified cannabis | reclassify marijuana | reclassifying marijuana | reform marijuana | restrictions marijuana
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,GPT,-0.0021,0.2,0.8861,Major shift,virginia referendum | redistricting referendum | virginia voters | results virginians | approved virginia | voters court | voters flagrantly | passing redistricting | state election | referendum state,congressional map | redistricting referendum | map virginia | redistricting efforts | passing redistricting | decision virginia | redistricting | nationwide redistricting | elections evaluating | map claims,approved virginia | referendum state | results virginians | state election | virginia referendum | virginia voters | voters court | voters flagrantly
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,Gemini,-0.0737,0.2,0.912,Major shift,virginia referendum | redistricting referendum | virginia voters | results virginians | approved virginia | voters court | voters flagrantly | passing redistricting | state election | referendum state,virginia voters | voters court | maps ruling | overturn voters | congressional map | hurley virginia | approved map | map accusing | virginia attorney | stated voters,approved virginia | passing redistricting | redistricting referendum | referendum state | results virginians | state election | virginia referendum | voters flagrantly
Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,Grok,-0.1705,0.3,0.9474,Major shift,virginia referendum | redistricting referendum | virginia voters | results virginians | approved virginia | voters court | voters flagrantly | passing redistricting | state election | referendum state,redistricting map | virginia voters | congressional redistricting | redistricting | approved virginia | map virginians | state election | ballot approved | voters tuesday | referendum results,passing redistricting | redistricting referendum | referendum state | results virginians | virginia referendum | voters court | voters flagrantly
Politics,Los Angeles becomes the first major school district to require screen time limits,GPT,-0.0732,0.2,0.8512,Major shift,devices students | schools screens | classroom technology | classrooms reliant | school mandated | students using | tech classrooms | classrooms children | mandated ipads | devices lunch,schools screens | classroom technology | classrooms policy | prohibit device | educational technology | use classrooms | limit students | students use | grades device | device use,classrooms children | classrooms reliant | devices lunch | devices students | mandated ipads | school mandated | students using | tech classrooms
Politics,Los Angeles becomes the first major school district to require screen time limits,Gemini,-0.2523,0.3,0.8921,Major shift,devices students | schools screens | classroom technology | classrooms reliant | school mandated | students using | tech classrooms | classrooms children | mandated ipads | devices lunch,schools screens | prohibits device | technology classrooms | devices lunch | restrict students | student distraction | students using | educational technology | education technology | students use,classroom technology | classrooms children | classrooms reliant | devices students | mandated ipads | school mandated | tech classrooms
Politics,Los Angeles becomes the first major school district to require screen time limits,Grok,-0.6851,0.1,0.8865,Major shift,devices students | schools screens | classroom technology | classrooms reliant | school mandated | students using | tech classrooms | classrooms children | mandated ipads | devices lunch,schools screens | students prohibits | restrict student | student screen | prohibits device | student use | education technology | use schools | school students | 2027 school,classroom technology | classrooms children | classrooms reliant | devices lunch | devices students | mandated ipads | school mandated | students using | tech classrooms
Politics,Trump administration vows crackdown on Chinese firms 'exploiting' U.S. AI models,GPT,-0.5471,0.1,0.812,Major shift,china ai | ai china | expert china | china challenging | trump ai | china technology | american ai | prevent china | based china | ai companies,ai firms | deepseek chinese | models deepseek | american ai | china increasingly | capabilities distillation | deepseek | leading ai | ai nearly | foreign tech,ai china | ai companies | based china | china ai | china challenging | china technology | expert china | prevent china | trump ai
Politics,Trump administration vows crackdown on Chinese firms 'exploiting' U.S. AI models,Gemini,-0.8941,0.2,0.8209,Major shift,china ai | ai china | expert china | china challenging | trump ai | china technology | american ai | prevent china | based china | ai companies,ai nations | ai companies | stealing ai | american ai | escalating china | chinese firms | chinese companies | accusing chinese | china rivalry | source ai,ai china | based china | china ai | china challenging | china technology | expert china | prevent china | trump ai
Politics,Trump administration vows crackdown on Chinese firms 'exploiting' U.S. AI models,Grok,-1.9137,0.2,0.8341,Major shift,china ai | ai china | expert china | china challenging | trump ai | china technology | american ai | prevent china | based china | ai companies,ai companies | american ai | ai expertise | source ai | leading ai | trump chinese | ai apis | ai | ai models | chinese labs,ai china | based china | china ai | china challenging | china technology | expert china | prevent china | trump ai
Politics,Trump claims Iran’s regime is fractured. The reality is more complicated.,GPT,0.3166,0.2,0.8798,Major shift,iranian leadership | administration iran | iran regime | iran political | iranian president | governance iran | misreading iranian | iran failure | iran position | blockade iranian,talks iran | iran leadership | blockade iranian | intentions iran | iran political | iran governance | distrust iran | characterized iran | arguing iran | iran distrust,administration iran | governance iran | iran failure | iran position | iran regime | iranian leadership | iranian president | misreading iranian
Politics,Trump claims Iran’s regime is fractured. The reality is more complicated.,Gemini,0.3436,0.1,0.8642,Major shift,iranian leadership | administration iran | iran regime | iran political | iranian president | governance iran | misreading iranian | iran failure | iran position | blockade iranian,iran leadership | iran officials | iranian government | iran maintains | blockade iranian | iran observers | state iranian | house iran | hiding iran | talks pakistan,administration iran | governance iran | iran failure | iran political | iran position | iran regime | iranian leadership | iranian president | misreading iranian
Politics,Trump claims Iran’s regime is fractured. The reality is more complicated.,Grok,0.0723,0.0,0.8377,Major shift,iranian leadership | administration iran | iran regime | iran political | iranian president | governance iran | misreading iranian | iran failure | iran position | blockade iranian,iranian regime | iran experts | iranian officials | command iran | iran shifted | iran difficulty | unity iranian | argues iran | tehran maintained | experts iranian,administration iran | blockade iranian | governance iran | iran failure | iran political | iran position | iran regime | iranian leadership | iranian president | misreading iranian
Politics,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,GPT,0.0403,0.0,0.7408,Major shift,iran negotiating | iran exporting | conflict iran | pressure iran | iranian forces | iran shore | iran coast | security iranian | iran talks | guided iran,oil crisis | iran oil | oil exports | oil prices | global oil | crisis blockade | international oil | disrupted oil | iran demands | oil imports,conflict iran | guided iran | iran coast | iran exporting | iran negotiating | iran shore | iran talks | iranian forces | pressure iran | security iranian
Politics,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,Gemini,0.0101,0.1,0.7613,Major shift,iran negotiating | iran exporting | conflict iran | pressure iran | iranian forces | iran shore | iran coast | security iranian | iran talks | guided iran,iran oil | oil crisis | oil exports | stalled iran | international oil | world oil | oil prices | conflict iran | blocks iran | strait energy,guided iran | iran coast | iran exporting | iran negotiating | iran shore | iran talks | iranian forces | pressure iran | security iranian
Politics,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,Grok,0.0031,0.0,0.8431,Major shift,iran negotiating | iran exporting | conflict iran | pressure iran | iranian forces | iran shore | iran coast | security iranian | iran talks | guided iran,iran diplomacy | oil crisis | sea iran | iranian oil | blockade strait | iran closed | oil exports | international crisis | reaching iran | blockade,conflict iran | guided iran | iran coast | iran exporting | iran negotiating | iran shore | iran talks | iranian forces | pressure iran | security iranian
Politics,"D.H.S. Will Run Out of Money for Paychecks in May, Secretary Says",GPT,0.0684,0.1,0.8147,Major shift,funding federal | department money | fund paychecks | security spending | funding president | billions funding | payroll costs | federal emergency | homeland security | fund immigration,shutdown department | homeland security | department stalled | department funding | department immigration | department congressional | department operations | filibuster shutdown | ongoing shutdown | department run,billions funding | department money | federal emergency | fund immigration | fund paychecks | funding federal | funding president | payroll costs | security spending
Politics,"D.H.S. Will Run Out of Money for Paychecks in May, Secretary Says",Gemini,0.09,0.1,0.8324,Major shift,funding federal | department money | fund paychecks | security spending | funding president | billions funding | payroll costs | federal emergency | homeland security | fund immigration,payroll shutdown | funding dhs | fund dhs | homeland security | security dhs | dhs employees | dhs department | dhs stalled | shutdown impeding | previous shutdown,billions funding | department money | federal emergency | fund immigration | fund paychecks | funding federal | funding president | payroll costs | security spending
Politics,"D.H.S. Will Run Out of Money for Paychecks in May, Secretary Says",Grok,0.0179,0.1,0.8683,Major shift,funding federal | department money | fund paychecks | security spending | funding president | billions funding | payroll costs | federal emergency | homeland security | fund immigration,department spending | homeland security | government shutdown | dhs immigration | pay shutdown | missed paychecks | deal payroll | payroll deadline | payroll available | security dhs,billions funding | department money | federal emergency | fund immigration | fund paychecks | funding federal | funding president | payroll costs | security spending
Politics,Suspected gunman at White House press dinner named,GPT,0.1285,0.3,0.8441,Major shift,known allen | allen graduated | california allen | allen teacher | cole allen | allen | profile allen | allen younger | named allen | tomas allen,suspected gunman | allen reportedly | incident allen | allen | tomas allen | california allen | gunman involved | suspect publicly | investigation suspect | involved shooting,allen graduated | allen teacher | allen younger | cole allen | known allen | named allen | profile allen
Politics,Suspected gunman at White House press dinner named,Gemini,0.1037,0.2,0.8396,Major shift,known allen | allen graduated | california allen | allen teacher | cole allen | allen | profile allen | allen younger | named allen | tomas allen,allen armed | president allen | allen reportedly | allen | suspected gunman | believe allen | california allen | knew allen | allen tackled | allen prior,allen graduated | allen teacher | allen younger | cole allen | known allen | named allen | profile allen | tomas allen
Politics,Suspected gunman at White House press dinner named,Grok,-0.0391,0.3,0.8271,Major shift,known allen | allen graduated | california allen | allen teacher | cole allen | allen | profile allen | allen younger | named allen | tomas allen,allen criminal | enforcement allen | allen | tomas allen | profile allen | knew allen | suspect shooting | identified suspect | allen expressed | allen 31,allen graduated | allen teacher | allen younger | california allen | cole allen | known allen | named allen
Politics,Trump claims ‘rigged’ Virginia vote as court moves to block redistricting map,GPT,1.7151,0.5,0.9073,Major shift,rigged election | democrats rigged | election fraud | voter fraud | virginia voters | virginia vote | referendum virginia | ballots evidence | rigged county | redistricting referendum,voter fraud | virginia voters | democrats rigged | virginia vote | rigged claim | claims virginia | questioning election | redistricting referendum | congressional map | redistricting,ballots evidence | election fraud | referendum virginia | rigged county | rigged election
Politics,Trump claims ‘rigged’ Virginia vote as court moves to block redistricting map,Gemini,0.1003,0.4,0.9112,Slight shift,rigged election | democrats rigged | election fraud | voter fraud | virginia voters | virginia vote | referendum virginia | ballots evidence | rigged county | redistricting referendum,voter fraud | redistricting referendum | ballots accusation | virginia voters | ballots fraudulent | virginia vote | national redistricting | misleading virginia | approved redistricting | redistricting,ballots evidence | democrats rigged | election fraud | referendum virginia | rigged county | rigged election
Politics,Trump claims ‘rigged’ Virginia vote as court moves to block redistricting map,Grok,0.0719,0.0,0.902,Major shift,rigged election | democrats rigged | election fraud | voter fraud | virginia voters | virginia vote | referendum virginia | ballots evidence | rigged county | redistricting referendum,virginia referendum | congressional map | map rigged | voters tuesday | election repeatedly | vote virginia | november elections | partisan redistricting | democrats flip | misleading lawmakers,ballots evidence | democrats rigged | election fraud | redistricting referendum | referendum virginia | rigged county | rigged election | virginia vote | virginia voters | voter fraud
Tech,Tim Cook says Apple Maps release was a 'really big mistake',GPT,-0.0285,0.2,0.8304,Major shift,apple maps | map app | apple ceo | 2012 ios | ios | apple information | released apple | reporting apple | maps released | getting apple,apple ceo | apple maps | ceo tim | ceo september | tim cook | apple watch | time apple | ceo | launch apple | apple,2012 ios | apple information | getting apple | ios | map app | maps released | released apple | reporting apple
Tech,Tim Cook says Apple Maps release was a 'really big mistake',Gemini,-0.0503,0.2,0.8154,Major shift,apple maps | map app | apple ceo | 2012 ios | ios | apple information | released apple | reporting apple | maps released | getting apple,apple ceo | apple maps | apple | launch apple | apple watch | ceo tim | outgoing apple | noted apple | tim cook | ceo,2012 ios | apple information | getting apple | ios | map app | maps released | released apple | reporting apple
Tech,Tim Cook says Apple Maps release was a 'really big mistake',Grok,-0.0071,0.2,0.8327,Major shift,apple maps | map app | apple ceo | 2012 ios | ios | apple information | released apple | reporting apple | maps released | getting apple,apple maps | summary apple | apple watch | believes apple | apple | company apple | launch apple | map apps | map app | apple town,2012 ios | apple ceo | apple information | getting apple | ios | maps released | released apple | reporting apple
Tech,Apple’s pick to replace Tim Cook hints at its plans for the AI era,GPT,-0.048,0.0,0.8654,Major shift,future apple | computing apple | apple make | apple products | ahead apple | leading apple | apple design | apple success | apple company | apple needs,apple ai | apple future | influencing apple | apple announced | apple product | leverages apple | apple | benefit apple | use apple | critical apple,ahead apple | apple company | apple design | apple make | apple needs | apple products | apple success | computing apple | future apple | leading apple
Tech,Apple’s pick to replace Tim Cook hints at its plans for the AI era,Gemini,-0.0071,0.1,0.9104,Major shift,future apple | computing apple | apple make | apple products | ahead apple | leading apple | apple design | apple success | apple company | apple needs,apple ai | apple announced | advantage apple | making apple | allows apple | apple proprietary | apple introduced | apple | apple success | decisions apple,ahead apple | apple company | apple design | apple make | apple needs | apple products | computing apple | future apple | leading apple
Tech,Apple’s pick to replace Tim Cook hints at its plans for the AI era,Grok,-0.0157,0.1,0.8912,Major shift,future apple | computing apple | apple make | apple products | ahead apple | leading apple | apple design | apple success | apple company | apple needs,apple ai | apple announced | apple design | hardware innovation | apple | models apple | device ai | apple released | summary apple | defining apple,ahead apple | apple company | apple make | apple needs | apple products | apple success | computing apple | future apple | leading apple
Tech,SpaceX Strikes Deal With Cursor for $60 Billion,GPT,-0.1969,0.0,0.8423,Major shift,buys cursor | spacex cursor | acquire cursor | spacex bought | deal spacex | spacex initiatives | musk spacex | musk companies | cursor makes | transaction cursor,spacex develop | spacex investing | investing ai | openai cursor | spacex plans | spacex provide | spacex offers | partnering spacex | spacex | cursor valuing,acquire cursor | buys cursor | cursor makes | deal spacex | musk companies | musk spacex | spacex bought | spacex cursor | spacex initiatives | transaction cursor
Tech,SpaceX Strikes Deal With Cursor for $60 Billion,Gemini,-0.0481,0.0,0.8195,Major shift,buys cursor | spacex cursor | acquire cursor | spacex bought | deal spacex | spacex initiatives | musk spacex | musk companies | cursor makes | transaction cursor,acquire ai | buy cursor | xai supercomputing | xai spacex | spacex anticipated | trillion musk | offers spacex | supercomputing capabilities | spacex | scale ai,acquire cursor | buys cursor | cursor makes | deal spacex | musk companies | musk spacex | spacex bought | spacex cursor | spacex initiatives | transaction cursor
Tech,SpaceX Strikes Deal With Cursor for $60 Billion,Grok,-0.1106,0.0,0.785,Major shift,buys cursor | spacex cursor | acquire cursor | spacex bought | deal spacex | spacex initiatives | musk spacex | musk companies | cursor makes | transaction cursor,spacex ai | ai startup | builds ai | growing ai | space ai | trillion musk | intelligence cursor | ai fundamentally | ai chip | cursor founded,acquire cursor | buys cursor | cursor makes | deal spacex | musk companies | musk spacex | spacex bought | spacex cursor | spacex initiatives | transaction cursor
Tech,YouTube clips and a bare stage: How Justin Bieber captivated Coachella — and the internet,GPT,-0.057,0.1,0.8751,Major shift,bieber coachella | crowd bieber | bieber fans | heat bieber | bieber setup | bieber successes | bieber fan | livestream bieber | showed bieber | bieber live,coachella bieber | bieber performed | bieber fans | reports bieber | bieber recent | bieber | justin bieber | opinions bieber | bieber 10 | nostalgic bieber,bieber coachella | bieber fan | bieber live | bieber setup | bieber successes | crowd bieber | heat bieber | livestream bieber | showed bieber
Tech,YouTube clips and a bare stage: How Justin Bieber captivated Coachella — and the internet,Gemini,-0.133,0.0,0.8522,Major shift,bieber coachella | crowd bieber | bieber fans | heat bieber | bieber setup | bieber successes | bieber fan | livestream bieber | showed bieber | bieber live,bieber perceived | bieber | justin bieber | criticized bieber | artists bieber | bieber recent | bieber slated | instead bieber | bieber 32 | justin,bieber coachella | bieber fan | bieber fans | bieber live | bieber setup | bieber successes | crowd bieber | heat bieber | livestream bieber | showed bieber
Tech,YouTube clips and a bare stage: How Justin Bieber captivated Coachella — and the internet,Grok,-0.0205,0.0,0.7808,Major shift,bieber coachella | crowd bieber | bieber fans | heat bieber | bieber setup | bieber successes | bieber fan | livestream bieber | showed bieber | bieber live,effects bieber | bieber simply | bliss bieber | bieber | justin bieber | bieber scheduled | bieber took | summary justin | justin | coachella performance,bieber coachella | bieber fan | bieber fans | bieber live | bieber setup | bieber successes | crowd bieber | heat bieber | livestream bieber | showed bieber
Tech,Anthropic investigating claim of unauthorised access to Mythos AI tool,GPT,0.1438,0.2,0.901,Major shift,mythos capabilities | access mythos | mythos control | mythos model | mythos risks | mythos | released mythos | mythos preview | anthropic access | unease mythos,security ai | cyber security | mythos | security | mythos model | cyber threats | ai companies | security breach | powerful cyber | ai used,access mythos | anthropic access | mythos capabilities | mythos control | mythos preview | mythos risks | released mythos | unease mythos
Tech,Anthropic investigating claim of unauthorised access to Mythos AI tool,Gemini,-0.0393,0.0,0.913,Major shift,mythos capabilities | access mythos | mythos control | mythos model | mythos risks | mythos | released mythos | mythos preview | anthropic access | unease mythos,cybersecurity officials | cybersecurity ai | cybersecurity | mythos tech | powerful cybersecurity | uk cybersecurity | hacking anthropic | cybersecurity practices | ai security | fundamental cybersecurity,access mythos | anthropic access | mythos | mythos capabilities | mythos control | mythos model | mythos preview | mythos risks | released mythos | unease mythos
Tech,Anthropic investigating claim of unauthorised access to Mythos AI tool,Grok,-0.0766,0.0,0.8814,Major shift,mythos capabilities | access mythos | mythos control | mythos model | mythos risks | mythos | released mythos | mythos preview | anthropic access | unease mythos,ai cybersecurity | cybersecurity properly | cybersecurity model | cybersecurity | positive cybersecurity | risks cybercrime | cyber article | hack individuals | cybercrime | mythos ultimately,access mythos | anthropic access | mythos | mythos capabilities | mythos control | mythos model | mythos preview | mythos risks | released mythos | unease mythos
Tech,Meta to cut 10% of staff as it pours billions into AI,GPT,-0.0219,0.2,0.8388,Major shift,companies meta | meta ceo | meta tech | meta shares | ai spending | technology meta | ai workforce | 2026 meta | meta confirmed | meta eliminated,ai spending | meta ceo | ai startups | reduced workforce | layoffs effective | ai advancements | layoffs | investments layoffs | ai investments | efficiency meta,2026 meta | ai workforce | companies meta | meta confirmed | meta eliminated | meta shares | meta tech | technology meta
